वृत्त,पद,लक्षण,लक्षण (raw),अक्षरसङ्ख्या,मात्रा,यति
अपरवक्त्र,1,ननरलग,ललललललगलगलग,11,14,
अपरवक्त्र,2,नजजर,ललललगललगलगलग,12,16,
उपचित्र,1,सससलग,ललगललगललगलग,11,15,
उपचित्र,2,भभभगग,गललगललगललगग,11,16,
"औपच्छन्दसिक, पुष्पिताग्रा",1,ननरय,ललललललगलगलगग,12,16,
"औपच्छन्दसिक, पुष्पिताग्रा",2,नजजरग,ललललगललगलगलगग,13,18,
"वियोगिनी, वैतालीय, सुन्दरी",1,ससजग,ललगललगलगलग,10,14,
"वियोगिनी, वैतालीय, सुन्दरी",2,सभरलग,ललगगललगलगलग,11,16,
वेगवती,1,सससग,ललगललगललगग,10,14,
वेगवती,2,भभभगग,गललगललगललगग,11,16,
हरिणप्लुता,1,सससलग,ललगललगललगलग,11,15,
हरिणप्लुता,2,नभभर,लललगललगललगलग,12,16,
वसन्तमालिका,1,ससजगग,ललगललगलगलगग,11,16,
वसन्तमालिका,2,सभरय,ललगगललगलगलगग,12,18,
अनुष्टुभ्,1,----लग--,----लग--,8,3,
अनुष्टुभ्,2,----लगल-,----लगल-,8,4,
