वृत्त,पाद,गण,लक्षण,अक्षरसङ्ख्या,मात्रा,यति
"अतिरेखा, सुखेलक, प्रभद्रक",,नजभजर,ललललगलगलललगलगलग,15,20,"5,10"
अतिशायिनी,,ससजभजगग,ललगललगलगलगलललगलगग,17,24,"10,7"
"अद्रितनया, अश्वललित",,नजभजभजभलग,ललललगलगलललगलगलललगलगलललग,23,30,"11,12"
अपराजिता,,ननरसलग,ललललललगलगललगलग,14,18,"7,7"
अपवाह,,मननननननसगग,गगगललललललललललललललललललललगगग,26,32,"9,6,6,5"
असम्बाधा,,मतनसगग,गगगगगललललललगगग,14,22,"5,9"
इन्द्रवज्रा,,ततजगग,गगलगगललगलगग,11,18,"5,6"
इन्द्रवंशा,,ततजर,गगलगगललगलगलग,12,19,"5,7"
उज्ज्वला,,ननभर,ललललललगललगलग,12,15,
"उपस्थित, शिखण्डित",,जसतगग,लगलललगगगलगग,11,17,
उपेन्द्रवज्रा,,जतजगग,लगलगगललगलगग,11,17,"5,6"
"ऋषभगजविलसित, गजतुरगविलसित",,भरनननग,गललगलगलललललललललग,16,20,"7,11"
"कलहंस, कुटजा, सिंहनाद, नन्दिनी",,सजससग,ललगलगलललगललगग,13,18,"6,7"
कुमारललिता,,जसग,लगलललगग,7,10,"3,4"
कुसुमविचित्रा,,नयनय,ललललगगललललगग,12,16,
कुसुमितलतावेल्लिता,,मतनययय,गगगगगलललललगगलगगलगग,18,29,"5,6,7"
क्रौञ्चपदा,,भमसभननननग,गललगगगललगगललललललललललललललग,25,32,"5,5,8,7"
"क्षमा, उत्पलिनी, चन्द्रिका",,ननततग,ललललललगगलगगलग,13,18,"7,6"
गजगति,,नभलग,लललगलललग,8,10,"4,4"
गीतिका,,सजसभरसलग,ललगलगलललगगललगलगललगलग,20,28,"5,5,5,5"
चन्द्रलेखा,,मरमयय,गगगगलगगगगलगगलगग,15,27,"7,8"
चन्द्रवर्त्म,,रनभस,गलगलललगललललग,12,16,"4,8"
चित्र,,रजरजरग,गलगलगलगलगलगलगलगग,16,25,"8,8"
चित्रपदा,,भभगग,गललगललगग,8,12,
चित्रलेखा,,मभनययय,गगगगललललललगगलगगलगग,18,28,"4,7,7"
जलधरमाला,,मभसम,गगगगललललगगगग,12,20,"4,8"
जलोद्धतगति,,जसजस,लगलललगलगलललग,12,16,"6,6"
तन्वी,,भतनसभभनय,गललगगललललललगगललगललललललगग,24,32,"5,7,12"
तामरस,,नजजय,ललललगललगललगग,12,16,"5,7"
"तारका, नाराच",,ननरररर,ललललललगलगगलगगलगगलग,18,26,"13,5"
"तूणक, चामर",,रजरजर,गलगलगलगलगलगलगलग,15,23,"7,8"
तोटक,,सससस,ललगललगललगललग,12,16,"6,6"
त्वरितगति,,नजनग,ललललगललललग,10,12,"5,5"
दोधक,,भभभगग,गललगललगललगग,11,16,"6,5"
"द्रुतविलम्बित, हरिणप्लुत",,नभभर,लललगललगललगलग,12,16,"4,8"
नन्दन,,नजभजरर,ललललगलगलललगलगलगगलग,18,25,"11,7"
"नर्दटक, नर्कुटक",,नजभजजलग,ललललगलगलललगललगललग,17,22,"8,9"
"नवमालिनी, नवमालिका",,नजभय,ललललगलगलललगग,12,16,"8,4"
"पञ्चकावली, धृतश्री, सरसी",,नजभजजजर,ललललगलगलललगललगललगलगलग,21,28,"7,7,7"
पञ्चचामर,,जरजरजग,लगलगलगलगलगलगलगलग,16,24,"8,8"
पणव,,मनयग,गगगललललगगग,10,16,"5,5"
"पथ्या,मञ्जरी",,सजसयलग,ललगलगलललगलगगलग,14,20,"5,9"
पुट,,ननमय,ललललललगगगलगग,12,17,"8,4"
पृथ्वी,,जसजसयलग,लगलललगलगलललगलगगलग,17,24,"8,9"
"प्रभा, मन्दाकिनी, प्रमुदितवदना",,ननरर,ललललललगलगगलग,12,16,"7,5"
"प्रमदा, कुररीरुता",,नजभजलग,ललललगलगलललगललग,14,18,"6,8"
"प्रमाणिका, नगस्वरूपिणी",,जरलग,लगलगलगलग,8,12,"4,4"
प्रमिताक्षरा,,सजसस,ललगलगलललगललग,12,16,"5,7"
प्रहरणकलिका,,ननभनलग,ललललललगललललललग,14,16,"7,7"
प्रहर्षिणी,,मनजरग,गगगललललगलगलगग,13,20,"3,10"
भद्रिका २,,ननरलग,ललललललगलगलग,11,14,
भुजगशिशुभृता,,ननम,ललललललगगग,9,12,"7,2"
भुजङ्गप्रयात,,यययय,लगगलगगलगगलगग,12,20,"6,6"
