वृत्त,पद,लक्षण,लक्षण (raw),अक्षरसङ्ख्या,मात्रा,यति
उपजाति (कीर्ति),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (कीर्ति),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (कीर्ति),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (कीर्ति),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (वाणी),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (वाणी),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (वाणी),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (वाणी),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (माला),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (माला),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (माला),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (माला),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (शाला),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (शाला),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (शाला),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (शाला),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (हंसी),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (हंसी),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (हंसी),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (हंसी),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (माया),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (माया),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (माया),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (माया),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (जाया),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (जाया),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (जाया),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (जाया),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (बाला),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (बाला),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (बाला),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (बाला),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (आर्द्रा),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (आर्द्रा),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (आर्द्रा),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (आर्द्रा),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (भद्रा),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (भद्रा),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (भद्रा),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (भद्रा),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (प्रेमा),1,जतजगग,लगलगगललगलगग,11,17,
उपजाति (प्रेमा),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (प्रेमा),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (प्रेमा),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (रामा),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (रामा),2,ततजगग,गगलगगललगलगग,11,18,
उपजाति (रामा),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (रामा),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (ऋद्धि),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (ऋद्धि),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (ऋद्धि),3,ततजगग,गगलगगललगलगग,11,18,
उपजाति (ऋद्धि),4,ततजगग,गगलगगललगलगग,11,18,
उपजाति (सिद्धि/बुद्धि),1,ततजगग,गगलगगललगलगग,11,18,
उपजाति (सिद्धि/बुद्धि),2,जतजगग,लगलगगललगलगग,11,17,
उपजाति (सिद्धि/बुद्धि),3,जतजगग,लगलगगललगलगग,11,17,
उपजाति (सिद्धि/बुद्धि),4,जतजगग,लगलगगललगलगग,11,17,
उपजाति (वंशस्थ-इन्द्रवंशा १),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा २),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा २),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा २),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा २),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ३),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ३),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ३),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ३),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ४),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ४),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ४),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ४),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ५),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ५),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ५),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ५),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ६),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ६),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ७),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ७),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ७),3,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ७),4,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ८),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ९),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ९),2,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ९),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ९),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १०),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १०),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १०),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १०),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),1,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),2,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा ११),3,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा ११),4,ततजर,गगलगगललगलगलग,12,19,
उपजाति (वंशस्थ-इन्द्रवंशा १२),1,जतजर,लगलगगललगलगलग,12,18,
उपजाति (वंशस्थ-इन्द्रवंशा १२),2,जतजर,लगलगगललगलगलग,12,18,
