वृत्त,पद,लक्षण,लक्षण (raw),अक्षरसङ्ख्या,मात्रा,यति
उद्गता,1,सजसल,ललगलगलललगल,10,13,
उद्गता,2,नसजग,लललललगलगलग,10,13,
उद्गता,3,भनजलग,गललललललगललग,11,14,
उद्गता,4,सजसजग,ललगलगलललगलगलग,13,18,
अन्यविधोद्गता,1,सजसल,ललगलगलललगल,10,13,
अन्यविधोद्गता,2,नसजग,लललललगलगलग,10,13,
अन्यविधोद्गता,3,भनभग,गलललललगललग,10,13,
अन्यविधोद्गता,4,सजसजग,ललगलगलललगलगलग,13,18,
सौरभ,1,सजसल,ललगलगलललगल,10,13,
सौरभ,2,नसजग,लललललगलगलग,10,13,
सौरभ,3,रनभग,गलगलललगललग,10,14,
सौरभ,4,सजसजग,ललगलगलललगलगलग,13,18,
ललित,1,सजसल,ललगलगलललगल,10,13,
ललित,2,नसजग,लललललगलगलग,10,13,
ललित,3,ननसस,ललललललललगललग,12,14,
ललित,4,सजसजग,ललगलगलललगलगलग,13,18,
वक्त्र,1,मरगग,गगगगलगगग,8,15,
वक्त्र,2,मरगग,गगगगलगगग,8,15,
वक्त्र,3,ररगग,गलगगलगगग,8,14,
वक्त्र,4,मरगग,गगगगलगगग,8,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
